"","TX.0002.BAL.RML.DL.2","TX.0003.BAL.RLL.DL.2","TX.0004.BAL.RML.DL.2","TX.0005.BAL.RML.DL.2","TX.0006.BAL.Lingula.DL.3","TX.0007.BAL.RLL.DL.2","TX.0010.BAL.RLL.DL.1","TX.0012.BAL.RML.DL.2","TX.0013.BAL.RLL.DL.1","TX.0015.BAL.RML.DL.2","U.CF.0002.BAL.RLL.DL.1.219.276","UNIV.0090.BAL.RLL.DL.2.218.275","UNIV.0092.BAL.RML.DL.2.218.275","UNIV.0093.BAL.LUL.DL.2.218.275","UNIV.0101.BAL.RLL.DL.2.218.275","UNIV.0106.BAL.RML.DL.2.218.275","UNIV.0109.BAL.RML.DL.2","UNIV.0110.BAL.RLL.DL.2.218.275","UNIV.0111.BAL.R.DL.2.218.275","UNIV.0118.BAL.RT.DL.2.218.275","UNIV.0120.BAL.RML.DL.2.218.275","UNIV.0122.BAL.RLL.DL.1","UNIV.0133.BAL.LLL.DL.2.218.275","UNIV.0134.BAL.RLL.DL.2.218.275","UNIV.0147.BAL.RML.DL.3.218.275","UNIV.0150.BAL.RML.DL.2.218.275","UNIV.0151.BAL.Right.DL.2.218.275","UNIV.0152.BAL.LUL.DL.3.219.276","UNIV.0158.BAL.RML.DL.2.219.275","UNIV.0185.BAL.LLL.DL.2.219.276","UNIV.0196.BAL.RML.DL.1","UNIV.0198.BAL.RLL.DL.2","UNIV.0206.BAL.RLL.DL.2","UNIV.0213.BAL.RML.DL.2","UNIV.0216.BAL.RML.DL.2","UNIV.0217.BAL.RML.DL.3","UNIV.0232.BAL.RML.DL.2","UNIV.0238.BAL.Ling.DL.3","UNIV.0246.BAL.RML.DL.2","UNIV.0248.BAL.Ling.DL.2","UNIV.0250.BAL.Ling.DL.2","UNIV.0258.BAL.LWL.DL.2","UNIV.0259.BAL.RML.DL.2","UNIV.0260.BAL.RML.DL.2","UNIV.0267.BAL.RLL.DL.2","UNIV.0277.BAL.RML.DL.2","UNIV.0278.BAL.Lingula.DL.2","UNIV.0281.BAL.RML.DL.2","TX.0002.Bronch.DL.3","TX.0003.Bronch.DL.3","TX.0003.Bronch.DL.5","TX.0005.Bronch.DL.6","TX.0005.Bronch.RL.6","TX.0006.Bronch.DL.6","TX.0006.Bronch.DL.7","TX.0006.Bronch.RL.6","TX.0006.Bronch.RL.7","TX.0007.Bronch.DL.10","TX.0007.Bronch.DL.4","TX.0010.Bronch.DL.3","TX.0010.Bronch.DL.6","TX.0015.Bronch.DL.4","TX.0016.Bronch.DL.3","TX.0020.Bronch.DL.6","TX.0024.Bronch.DL.6","TX.0024.Bronch.RL.6","TX.0029.Bronch.DL.6","TX.0030.Bronch.DL.3","TX.0030.Bronch.DL.4","TX.0033.Bronch.DL.6","TX.0034.Bronch.DL.3","TX.0034.Bronch.DL.6","TX.0034.Bronch.RL.6","TX.0036.Bronch.DL.7","TX.0039.BAL.RML.DL.1","TX.0040.Bronch.DL.5","TX.0041.BAL.RML.DL.1","TX.0043.Bronch.DL.6","TX.0044.Bronch.DL.4","TX.0045.Bronch.DL.6","TX.0046.Bronch.DL.5","TX.0047.Bronch.DL.4","TX.0048.Bronch.DL.5","TX.0049.Bronch.DL.5","TX.0051.Bronch.DL.4","TX.0053.Bronch.DL.4","TX.0059.Bronch.DL.5","TX.0060.BAL.RML.DL.1","TX.0060.Bronch.DL.4","TX.0062.BAL.RML.DL.2","TX.0062.Bronch.DL.3","TX.0063.BAL.RML.DL.2","TX.0066.BAL.RLL.DL.2","TX.0067.BAL.RML.DL.2","TX.0067.Bronch.DL.3","TX.0067.Bronch.DL.4","UNIV.0134.Bronch.DL.7","UNIV.0134.Bronch.RL.7","UNIV.0196.Bronch.DL.2","UNIV.0196.Bronch.DL.4","UNIV.0213.Bronch.DL.3","UNIV.0213.Bronch.RL.3","UNIV.0217.Bronch.DL.4","UNIV.0238.Bronch.DL.4","UNIV.0238.Bronch.RL.4","UNIV.0248.Bronch.DL.4","UNIV.0248.Bronch.RL.4","UNIV.0258.Bronch.DL.3","UNIV.0258.Bronch.DL.4","UNIV.0258.Bronch.RL.3","UNIV.0258.Bronch.RL.4","UNIV.0260.Bronch.DL.3","UNIV.0278.Bronch.DL.3","UNIV.0278.Bronch.RL.3","UNIV.0281.Bronch.DL.4","TX.0016.BAL.RML.DL.2","TX.0019.BAL.RLL.DL.2","TX.0020.BAL.RML.DL.2","TX.0022.BAL.RML.DL.2","TX.0023.BAL.RML.DL.2","TX.0024.BAL.RML.DL.2","TX.0025.BAL.RML.DL.2","TX.0026.BAL.RML.DL.2","TX.0027.BAL.RML.DL.2","TX.0028.BAL.RML.DL.2","TX.0029.BAL.RML.DL.2","TX.0030.BAL.RML.DL.2","TX.0032.BAL.RML.DL.2","TX.0033.BAL.RML.DL.2","TX.0034.BAL.Lingula.DL.2","TX.0035.BAL.RML.DL.2","TX.0036.BAL.RML.DL.2","TX.0037.BAL.RML.DL.2","TX.0038.BAL.RLL.DL.2","TX.0040.BAL.RML.DL.2","TX.0042.BAL.RML.DL.1","TX.0043.BAL.RML.DL.2","TX.0044.BAL.RML.DL.2","TX.0045.BAL.RML.DL.1","TX.0046.BAL.RLL.DL.2","TX.0047.BAL.RML.DL.2","TX.0048.BAL.RML.DL.2","TX.0049.BAL.RML.DL.2","TX.0050.BAL.RLL.DL.2","TX.0051.BAL.RLL.DL.2","TX.0052.BAL.RML.DL.2","TX.0053.BAL.RML.DL.2","TX.0054.BAL.RML.DL.2","TX.0055.BAL.RML.DL.2","TX.0056.BAL.RML.DL.2","TX.0058.BAL.RML.DL.2","TX.0059.BAL.RML.DL.2","TX.0061.BAL.R.DL.2","UNIV.0190.BAL.RML.DL.2","UNIV.0291.BAL.Right.DL.2","UNIV.0293.BAL.LLL.DL.2","TX.0002.Supraglottic.3","TX.0003.Supraglottic.3","TX.0004.Supraglottic.4","TX.0005.Supraglottic.3","TX.0006.Supraglottic.4","TX.0007.Supraglottic.3","TX.0010.Supraglottic.3","TX.0012.Supraglottic.3","TX.0013.Supraglottic.4","TX.0015.Supraglottic.4","TX.0016.Supraglottic.3","TX.0019.Supraglottic.3","TX.0020.Supraglottic.6","TX.0022.Supraglottic.3","TX.0023.Supraglottic.4","TX.0024.Supraglottic.4","TX.0025.Supraglottic.3","TX.0026.Supraglottic.3","TX.0027.Supraglottic.3","TX.0028.Supraglottic.3","TX.0029.Supraglottic.6","TX.0030.Supraglottic.3","TX.0032.Supraglottic.3","TX.0033.Supraglottic.3","TX.0034.Supraglottic.3","TX.0035.Supraglottic.3","TX.0036.Supraglottic.3","TX.0037.Supraglottic.1","TX.0038.Supraglottic.4","TX.0040.Supraglottic.3","TX.0041.Supraglottic.2","TX.0042.Supraglottic.4","TX.0043.Supraglottic.4","TX.0044.Supraglottic.3","TX.0045.Supraglottic.3","TX.0046.Supraglottic.3","TX.0047.Supraglottic.3","TX.0048.Supraglottic.3","TX.0049.Supraglottic.3","TX.0050.Supraglottic.2","TX.0051.Supraglottic.3","TX.0052.Supraglottic.3","TX.0053.Supraglottic.3","TX.0054.Supraglottic.1","TX.0055.Supraglottic.3","TX.0056.Supraglottic.2","TX.0058.Supraglottic.3","TX.0059.Supraglottic.4","TX.0060.Supraglottic.2","TX.0061.Supraglottic.3","TX.0062.Supraglottic.3","TX.0063.Supraglottic.3","TX.0066.Supraglottic.3","TX.0067.Supraglottic.3","U.CF.0002.Supraglottic.3","UNIV.0090.Supraglottic.3.227.283","UNIV.0092.Supraglottic.3.227.283","UNIV.0093.Supraglottic.6.227.283","UNIV.0101.Supraglottic.4.227.283","UNIV.0106.Supraglottic.4.227.283","UNIV.0109.Supraglottic.4.227.283","UNIV.0110.Supraglottic.4.227.283","UNIV.0111.Supraglottic.3.227.283","UNIV.0118.Supraglottic.4.227.283","UNIV.0120.Supraglottic.3.227.283","UNIV.0122.Supraglottic.3.227.283","UNIV.0133.Supraglottic.3.227.283","UNIV.0134.Supraglottic.5.227.283","UNIV.0147.Supraglottic.5.227.283","UNIV.0150.Supraglottic.3.227.283","UNIV.0151.Supraglottic.3.227.283","UNIV.0152.Supraglottic.4","UNIV.0158.Supraglottic.4.227.283","UNIV.0185.Supraglottic.4.227.283","UNIV.0196.Supraglottic.2","UNIV.0198.Supraglottic.3","UNIV.0206.Supraglottic.4","UNIV.0213.Supraglottic.3","UNIV.0216.Supraglottic.3","UNIV.0217.Supraglottic.4","UNIV.0232.Supraglottic.3","UNIV.0238.Supraglottic.4","UNIV.0246.Supraglottic.3","UNIV.0248.Supraglottic.4","UNIV.0250.Supraglottic.3","UNIV.0258.Supraglottic.3","UNIV.0259.Supraglottic.3","UNIV.0260.Supraglottic.4","UNIV.0267.Supraglottic.4","UNIV.0277.Supraglottic.4","UNIV.0278.Supraglottic.3","UNIV.0281.Supraglottic.4"
"7dcc87322ab3347207d348b7ac0015e5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b0d3249a9a19caa02b96758387584e50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f64874ad451f3900bdc542e2ffcb491f",0,0,0,8,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e7fe23d6c2d76f57b76ed19d5bc12e39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58dbd977326a33baf577041497c99cf8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87dfb8f8d320a4930630b0c885005320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"2baba4b3a967ceb47881bc932f862b1d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3ea5d17a0777acd153da05e0a9267a86",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,35,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,11,0,0,0,32,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e687f8a905de53adc514fa2474818141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c6ba11dbecfd34a6a730acf18ea8a27a",0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0
"6aa2ca6ff486a00b4a52a9ba5f2816ff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4a015ee816034bf13159df4cc5835196",28,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,32,0,0,0,13,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,151,0,0,0,0,0,21,0,0,0,0,24,0,0,0,458,0,0,0,63,0,43,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,196,5,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,145,0,0,0,46,7,30,0,105,0,5,9,0,46,0,0,0,0,0,0,89,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4264,0,0,0,0,0,0,0,0,0,0,0,0
"3a6824cdf9c5521ea2f38bb0e742786d",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ab1d62b9f65aa20a7ed086effeb3b1af",0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a04a11b72b931e796ed97a673ee3b8f7",0,12,38,28,6,88,105,369,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,37,15,0,0,0,28,9,7,0,9,49,23,107,117,28,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,219,0,0,0,0,4,0,0,0,0,0,0,0,0,0,105,0,0,11,191,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,16,32,0,0,0,3,0,0,0,0,40,23,35,0,0,0,0,0,0,0,0,5,6,0,33,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"f7ee84da004b9d469dc48a4c05fdd816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8e4dc053b614688332929f2242a2277c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,24,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,90,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63dd3986b722a781191c5053e5b46443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
